Files already downloaded and verified
Files already downloaded and verified

  0%|          | 0/1563 [00:00<?, ?step/s]
[ 1 / 20 ], Loss:2.3042, Acc:0.0938:   0%|          | 0/1563 [00:01<?, ?step/s]
[ 1 / 20 ], Loss:2.3042, Acc:0.0938:   0%|          | 1/1563 [00:01<46:58,  1.80s/step]
[ 1 / 20 ], Loss:2.3029, Acc:0.0938:   0%|          | 1/1563 [00:01<46:58,  1.80s/step]
[ 1 / 20 ], Loss:2.2969, Acc:0.1562:   0%|          | 1/1563 [00:01<46:58,  1.80s/step]
[ 1 / 20 ], Loss:2.2982, Acc:0.1562:   0%|          | 1/1563 [00:01<46:58,  1.80s/step]
[ 1 / 20 ], Loss:2.3107, Acc:0.0625:   0%|          | 1/1563 [00:01<46:58,  1.80s/step]
[ 1 / 20 ], Loss:2.3000, Acc:0.1562:   0%|          | 1/1563 [00:01<46:58,  1.80s/step]
[ 1 / 20 ], Loss:2.3002, Acc:0.2188:   0%|          | 1/1563 [00:01<46:58,  1.80s/step]
[ 1 / 20 ], Loss:2.3025, Acc:0.0938:   0%|          | 1/1563 [00:01<46:58,  1.80s/step]
[ 1 / 20 ], Loss:2.3112, Acc:0.0938:   0%|          | 1/1563 [00:01<46:58,  1.80s/step]
[ 1 / 20 ], Loss:2.3215, Acc:0.0312:   0%|          | 1/1563 [00:01<46:58,  1.80s/step]
[ 1 / 20 ], Loss:2.3059, Acc:0.0938:   0%|          | 1/1563 [00:01<46:58,  1.80s/step]
[ 1 / 20 ], Loss:2.3059, Acc:0.0938:   1%|          | 11/1563 [00:01<03:17,  7.85step/s]
[ 1 / 20 ], Loss:2.2880, Acc:0.0938:   1%|          | 11/1563 [00:01<03:17,  7.85step/s]
[ 1 / 20 ], Loss:2.2939, Acc:0.0625:   1%|          | 11/1563 [00:01<03:17,  7.85step/s]
[ 1 / 20 ], Loss:2.3044, Acc:0.1562:   1%|          | 11/1563 [00:01<03:17,  7.85step/s]
[ 1 / 20 ], Loss:2.3137, Acc:0.0938:   1%|          | 11/1563 [00:01<03:17,  7.85step/s]
[ 1 / 20 ], Loss:2.2976, Acc:0.2188:   1%|          | 11/1563 [00:01<03:17,  7.85step/s]
[ 1 / 20 ], Loss:2.2955, Acc:0.0938:   1%|          | 11/1563 [00:01<03:17,  7.85step/s]
[ 1 / 20 ], Loss:2.3099, Acc:0.0938:   1%|          | 11/1563 [00:01<03:17,  7.85step/s]
[ 1 / 20 ], Loss:2.3156, Acc:0.0938:   1%|          | 11/1563 [00:01<03:17,  7.85step/s]
[ 1 / 20 ], Loss:2.2962, Acc:0.0312:   1%|          | 11/1563 [00:01<03:17,  7.85step/s]
[ 1 / 20 ], Loss:2.3029, Acc:0.2188:   1%|          | 11/1563 [00:02<03:17,  7.85step/s]
[ 1 / 20 ], Loss:2.3029, Acc:0.2188:   1%|▏         | 21/1563 [00:02<01:33, 16.51step/s]
[ 1 / 20 ], Loss:2.3010, Acc:0.1562:   1%|▏         | 21/1563 [00:02<01:33, 16.51step/s]
[ 1 / 20 ], Loss:2.3127, Acc:0.0625:   1%|▏         | 21/1563 [00:02<01:33, 16.51step/s]
[ 1 / 20 ], Loss:2.2853, Acc:0.1875:   1%|▏         | 21/1563 [00:02<01:33, 16.51step/s]
[ 1 / 20 ], Loss:2.2997, Acc:0.1250:   1%|▏         | 21/1563 [00:02<01:33, 16.51step/s]
[ 1 / 20 ], Loss:2.2872, Acc:0.2188:   1%|▏         | 21/1563 [00:02<01:33, 16.51step/s]
